iso2c,iso3c,country,year,life_expect,population,birth_rate,neonat_mortal_rate,region,income
AD,AND,Andorra,1994,,62707,10.9,3.2,Europe & Central Asia,High income
AD,AND,Andorra,1995,,63854,11,3,Europe & Central Asia,High income
AD,AND,Andorra,2006,,83373,10.6,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2007,,84878,10.1,1.8,Europe & Central Asia,High income
AD,AND,Andorra,1996,,64291,10.9,2.8,Europe & Central Asia,High income
AD,AND,Andorra,1993,,61003,11.4,3.4,Europe & Central Asia,High income
AD,AND,Andorra,1997,,64147,11.2,2.6,Europe & Central Asia,High income
AD,AND,Andorra,1998,,63888,11.9,2.4,Europe & Central Asia,High income
AD,AND,Andorra,2008,,85616,10.4,1.8,Europe & Central Asia,High income
AD,AND,Andorra,2009,,85474,9.9,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2001,,67770,11.8,2.1,Europe & Central Asia,High income
AD,AND,Andorra,1991,,56674,11.9,4,Europe & Central Asia,High income
AD,AND,Andorra,2005,,81223,10.7,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2012,,79316,9.5,1.6,Europe & Central Asia,High income
AD,AND,Andorra,2003,,74783,10.3,2,Europe & Central Asia,High income
AD,AND,Andorra,1999,,64161,12.6,2.3,Europe & Central Asia,High income
AD,AND,Andorra,2011,,82326,,1.6,Europe & Central Asia,High income
AD,AND,Andorra,1990,,54511,11.9,4.3,Europe & Central Asia,High income
AD,AND,Andorra,2002,,71046,11.2,2.1,Europe & Central Asia,High income
AD,AND,Andorra,2015,,70473,,1.4,Europe & Central Asia,High income
AD,AND,Andorra,2004,,78337,10.9,2,Europe & Central Asia,High income
AD,AND,Andorra,1992,,58904,12.1,3.7,Europe & Central Asia,High income
AD,AND,Andorra,2013,,75902,,1.5,Europe & Central Asia,High income
AD,AND,Andorra,2010,,84419,9.8,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2.00E+03,,65399,11.3,2.2,Europe & Central Asia,High income
AD,AND,Andorra,2014,,72786,,1.5,Europe & Central Asia,High income
AE,ARE,United Arab Emirates,1999,74.18717073,2884188,17.018,5.8,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2.00E+03,74.45153659,3050128,16.399,5.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2007,76.11117073,6010100,12.814,4.7,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2011,76.85119512,8734722,11.514,4.1,Middle East & North Africa,High income
