iso3c,year,gdp_percap
AND,1994,
AND,1995,
AND,2006,
AND,2007,
AND,1996,
AND,1993,
AND,1997,
AND,1998,
AND,2008,
AND,2009,
AND,2001,
AND,1991,
AND,2005,
AND,2012,
AND,2003,
AND,1999,
AND,2011,
AND,1990,
AND,2002,
AND,2015,
AND,2004,
AND,1992,
AND,2013,
AND,2010,
AND,2.00E+03,
AND,2014,
ARE,1999,79262.38645
ARE,2.00E+03,84974.89409
ARE,2007,75426.79351
ARE,2011,57594.12668
ARE,2014,67238.99526
ARE,2006,82754.28198
ARE,2012,61115.20946
ARE,1998,80040.2167
ARE,2008,69124.39621
ARE,1996,79480.46748
ARE,2015,69970.81534
ARE,1997,83165.26315
ARE,2010,56245.47816
ARE,1995,77467.24484
ARE,2005,84338.35941
ARE,2013,64409.90828
ARE,2001,83533.55522
ARE,2003,85563.63642
ARE,1994,74683.88859
ARE,2009,59100.38054
ARE,2002,82369.68502
ARE,1991,73036.99661
ARE,1990,74017.30065
ARE,1992,73154.27774
ARE,1993,71959.87787
ARE,2004,87843.70811
AFG,2014,1942.48461
AFG,1998,
AFG,2013,1941.610049
AFG,1997,
AFG,2.00E+03,
AFG,2012,1934.285634
AFG,1996,
AFG,1993,
AFG,1999,
AFG,1995,
AFG,2009,1525.517054
AFG,2004,940.476299
AFG,2003,945.6869299
AFG,1994,
AFG,2008,1283.040986
AFG,2010,1629.16729
AFG,2007,1245.059223
AFG,2015,1925.165228
AFG,2011,1712.58872
AFG,1991,
AFG,2001,
AFG,2002,895.5991488
AFG,1990,
AFG,1992,
AFG,2006,1095.655628
AFG,2005,1039.408242
ATG,1993,12415.41251
ATG,2007,24503.84487
ATG,1992,11766.78311
ATG,2006,22040.91366
ATG,2014,22133.75502
ATG,1991,11594.57506
ATG,1994,13141.20213
ATG,2013,20999.01692
ATG,1995,12516.60041
ATG,2015,23062.27827
ATG,2005,19067.0683
ATG,2002,15372.57819
ATG,2012,20919.65501
ATG,1996,13236.87073
ATG,1990,11087.01747
ATG,2008,24723.11189
ATG,2011,19987.92414
ATG,2010,20151.30987
ATG,2003,16426.92431
ATG,2001,14907.07263
ATG,2009,21671.37575
ATG,1999,14554.48083
ATG,2004,17593.87624
ATG,2.00E+03,15312.5665
ATG,1997,13732.76683
ATG,1998,14108.11207
ALB,2002,4754.656802
ALB,2001,4463.614854
ALB,2013,10578.78911
ALB,1999,3690.680883
ALB,1990,2721.627366
ALB,2014,11307.54928
ALB,2.00E+03,4026.537421
ALB,1991,1992.082585
ALB,2012,10526.86869
ALB,2010,9646.582277
ALB,2015,11479.08746
ALB,1998,3208.971421
ALB,1993,2147.584702
ALB,1996,3109.197384
ALB,2004,5524.947616
ALB,2003,5114.775044
ALB,1997,2837.364175
ALB,1992,1902.294879
ALB,2009,8823.861485
ALB,2005,5942.858972
ALB,1994,2389.957619
ALB,2011,10209.20099
ALB,1995,2781.42641
ALB,2007,7289.605417
ALB,2006,6634.754475
ALB,2008,8228.328189
ARM,2.00E+03,2313.331946
ARM,2001,2605.771618
ARM,2005,4716.243273
ARM,1991,2223.444263
ARM,2004,3998.143137
ARM,2002,3007.219393
ARM,1994,1419.992742
ARM,1990,2414.404926
ARM,2014,8117.6085
ARM,1999,2123.61324
ARM,2013,7733.631944
ARM,2003,3510.316808
ARM,1992,1347.491008
ARM,1993,1287.955107
ARM,2010,6376.268217
ARM,2008,7097.912173
ARM,1995,1581.73379
ARM,2011,6803.482997
ARM,2015,8418.72779
ARM,1997,1840.696008
ARM,2007,6483.504649
ARM,2009,6158.301452
ARM,2006,5526.092806
ARM,2012,7401.856398
ARM,1998,2012.338894
ARM,1996,1731.807416
AGO,1993,2115.395101
AGO,1991,3076.256008
AGO,1994,2165.01507
AGO,2007,5613.232196
AGO,2003,2961.964572
AGO,1992,2836.129244
AGO,2004,3256.653754
AGO,1995,2366.284056
AGO,1990,3106.554625
AGO,2005,3838.264572
AGO,2006,4614.590809
AGO,2012,6758.27805
AGO,1997,2778.743543
AGO,2001,3131.995858
AGO,2008,6298.01244
AGO,2015,7386.700843
AGO,1996,2603.074343
AGO,2013,7096.786468
AGO,2.00E+03,3036.559728
AGO,2011,6524.481181
AGO,1999,2972.321938
AGO,2014,7327.37949
AGO,2009,6284.274905
AGO,2002,2858.897069
AGO,1998,2918.451406
AGO,2010,6360.84898
ARG,2012,19686.60913
ARG,2009,16656.51945
ARG,1993,9709.911545
ARG,1994,10359.48593
ARG,2010,18414.08637
ARG,2011,19742.3961
ARG,1992,9076.549043
ARG,2005,13845.22479
ARG,2007,16915.43524
ARG,2008,17770.17752
ARG,1996,10771.88463
ARG,1995,10146.43621
ARG,1998,12152.46772
ARG,1991,8037.789232
ARG,2006,15271.35497
ARG,2.00E+03,11829.48405
ARG,2003,11235.99235
ARG,2013,20251.98534
ARG,1990,7002.0506
ARG,2004,12451.1311
ARG,2002,10234.05686
ARG,2015,20364.38221
ARG,2001,11437.83088
ARG,1997,11707.97119
